id,name
300619,سیواس
300796,سیلوان، دیار باقر
300822,سعرد
301209,شمدینلی
303195,عثمانیہ
303827,نیغدے
303831,نو شہر
304081,موش
304184,موغلا
304612,مینےمن
304922,مالاطیہ
305268,کوتاہیا
306474,کوکوتیلی
306571,قونیہ
307515,قر شہر
307654,قیریق قلعہ
307864,کیلیس
308464,قیصری
309527,کارامان
309647,آغری
310641,کامان، قر شہر
310855,کیاحتا
310859,قہرمان مرعش
311046,ازمیر
311073,اسپارتا
311111,اسکندرون
311314,انحیرلیوا
311665,اگدیر
311704,ادیل
314136,گولباشی، آدیامان
314830,غازی عینتاب
315202,اسکی شہر
315368,ارض روم
315373,ارزنجان
315498,ارغلی، قونیہ
315697,المالی
315808,الازیغ
316541,دیار بکر
316634,دینار
317109,دنیزلی
318137,ہکاری
320392,بوردور
320871,بور، نیغدے
321025,بتلیس
321082,بنگول
321580,بیلیچ
321836,باتمان، ترکی
322165,بالیکسیر
322830,آیدین
323777,انطالیہ
323779,انطاکیہ
323786,انقرہ
324496,اکسرائے
324944,اکچاکالے
325303,افیون قرہ حصار
325330,آدیامان
325363,آدانا
330546,مصوع
331180,میکیلے
332288,لالیبیلا
333287,کیرین، ارتریا
333373,کومبولچا
333772,جیمما
333795,جیجیگا
335035,ہرار
339219,دیسیی
339734,دیبری بیرحان
342884,بحر دار
343300,اسمارا
344797,ادوا
344901,مندیفیرا
349114,شربین، مصر
350203,رشيد
353229,10 رمضان شہر
355635,ادفو
358048,دمیاط
358172,دکرنس
358620,سفگا
358840,بلبیس
359792,اسوان
359796,سوئیز
360502,اقصر
360630,قاہرہ
361055,اسماعیلیہ
361058,اسکندریہ
361291,غردقہ
363243,سارندہ
363417,ڈونگولا
363533,زالنجے
363619,یی، جنوبی سوڈان
363656,یمبیو
363885,واو، جنوبی سوڈان
364103,وادمدنی
364367,اویل
365137,ام درمان
365742,توریت
365763,تونج
366847,سنگہ
367308,شندی
367544,سواکین
367927,رمبک
368277,ربک
369004,نیالا
370737,ملکال
371466,لییر ، ساؤتھ سوڈان
371712,کوئچ جوک
372753,کسلا
373141,کادوگلی
373303,جوبا
377039,پورٹ سوڈان
377241,بور، جنوبی سوڈان
378699,النہود
379003,الابیض
379062,القضارف
379252,خرطوم
379303,الجنینہ
379555,الفاشر
380148,الدعین
380173,الدامر
380174,الدمازین
383388,سیایا
385038,رفاع
400769,لاسکانود
415189,عدن
418863,اصفہان
423549,رومونگے
425378,بوجومبرا
428515,بوبونزا
430021,سبیتوکے
430569,نگوزی
430952,کایانزا
432456,کیروندو
438400,دنیزجیلر
453754,والمیرا
454310,وینٹسپلس
454768,ٹوکومس
455898,سالاسپلس
456172,ریگا
456202,رزیکنے
457065,اوگری
457954,لیپایا
459201,جرمالا
459279,جلگاوا
459283,جیکابپلس
460413,داگاوپلس
460570,چیسس
468902,یاروسلاول
469844,یابلونووسکی، جمہوریہ ادیگیا
470546,ویبورگ
472459,ولوگدا
472757,وولگو گراد
473247,ولادیمیر
473249,ولادیقفقاز
479123,اولیانووسک
480562,تولا، روس
484646,تمبوف
485239,سیکتیوکار
487846,سٹاوروپول
491687,سمولنسک
498677,ساراٹوف
498698,سارانسک
498817,سینٹ پیٹرز برگ
499099,سمارا، روس
500096,ریازان
501175,روستوف-نا-دونو
504341,پسکوف
509820,پیٹروزاودسک
511196,پیرم
511565,پینزا
515003,اورنبرگ
515012,اوریل
519336,ویلیکیا نووگورڈ
520555,نزہنی نووگورڈ
523392,نریان-مار
523523,نالچک
524305,مورمانسک
524901,ماسکو
528293,مایکوپ
532096,ماخاچکالا
535121,لیپٹسک
538560,کورسک
542420,کراسنودار
543878,کوستروما
548408,کیروف، کیروف اوبلاست
551487,قازان
553915,کالوگا
554234,کیلننگراڈ
554840,اژیفسک
555312,اوانوو
558418,گروزنی
561887,گاتچینا
563514,الیستا
569154,چرکیسک
569223,چرپووتس
569696,چیبوکساری
571476,برینسک
576317,بیرسک
577206,برزنیکی
577881,بیلورتسک
578072,بلگورود
578931,باریش
579492,بالاکوفو
579574,باکسان
580054,ازوف
580420,اتکارسک
580497,استراخان
580724,ارزاماس
580850,ارسک
580922,ارماویر، روس
581049,آرکھنجلسک
581126,ارگون، چیچن جمہوریہ
581179,اردون، جمہوریہ شمالی اوسیشیا-الانیا
581313,اپشیرونسک
581321,اپریلفکا
581357,اپاتیتی
582182,اناپا
582750,الیکسن
583041,الیگزندرووسک، پیرم کرائی
583350,الیگزندروف، ولادیمیر اوبلاست
583983,اگریز
584441,ابینسک
584471,ابدولینو
584596,زاقتالا
584614,زبرت
584649,یولاخ
584716,گوائی گول
584717,خاشماز
584791,اجار
584871,ترٹر
584923,سمقاییت
584954,کیزیل برون
585145,سرائے، ابشیرون
585152,شامخور
585156,شماخی
585170,شیکی
585187,سبیر آباد
585220,قوسار
585221,قوبا
585225,حاجیقابول
585226,قازاخ
585379,ہاکی زین العابدین
585514,منجاچویر
585763,کیوردرمیر
585915,خیردالان
586318,اسمیلی
586340,ینی سڑشنی
586427,گوے جے
586523,گنجہ
586763,ڈیوچی بازار
587057,بردع
587084,باکو
587361,اغسو
587378,آق داش
587384,اگجابیدی
588409,تالین
590775,لاسنامای
593116,ولنیس
593672,اوتینا
593926,ٹیلسیائی
593959,تاورگے
594739,شیولیائی
596128,پانویژس
596238,پالانگا
597231,ماریجام پول
598098,کلائپیڈا
598316,کاونس
601084,الیتوس
601294,نوکاث
601594,ترکمنباشی، ترکمانستان
601661,بولدومساز
601734,داشوغوز
602150,اومیو
604490,لولیو
608668,اورال، قازقستان
609655,کاراگنڈی
610529,اتیراؤ
610611,اکتوبے
610612,اقتاؤ
611717,طفلس
613988,خاشوری
615860,آخالتسیخے
616052,یریوان
616062,واغارشاپات
616530,وناديزور
616627,اجیوان
616629,ہرازدان
616631,آرماویر
616635,گیومری
616877,اشتارک
617076,ایڈینیٹ
617180,انگھینی
617239,تیراسپول
617302,سٹراشنی
617367,سوروکا
617638,اورھیئ
617993,ہنچیشٹی
618120,کاؤسینی
618329,فلوریشٹی
618365,دوباساری
618370,ڈروکیا
618405,کومرات
618456,کاہول
618577,بیندر، مالدووا
618605,بالتی
620127,ویٹبسک
625665,موگیلیف
627904,گروڈنو
627907,گوميل
629634,بریسٹ، بیلاروس
632370,ورکاؤس
632542,وامالا
632672,والکیاکوسکی
633591,توسولا
633679,ترکو
634093,تورنیو
634963,ٹیمپیر
636947,سیلینیاروی
637219,سیئنایوکی
637948,سالو، فن لینڈ
638936,رووا نی اے می
639406,ریحی ماکی
639734,رؤمہ
639853,راسے بورگ
640124,رائیسیو
640276,راہے
640999,پوری
641869,پی ایکسا ماکی
643492,اولُو
643644,اوری متیلا
644171,نورمیاوی
644450,نوکیا، فن لینڈ
646723,مانتسالا
647731,لوئیما
647751,لوہ یا
648738,لاوکا
648900,لپین رنتا
649360,لاہتی
649630,کیرکونومی
650859,کوولا
650946,کوتکا
651943,کوکولا
653185,کیراوا
653281,کیمی
653616,کاوہاوا
654899,کایانی
655194,یواسکولا
655808,یوئنسو
655958,جاروینپاا
656073,جناککالا
656083,جامسا
656130,جکوبستاد
656688,ایماترا
656820,ای سالمی
658225,ہلسنکی
658629,ہاوکیپوداس
659169,ہامینا
659180,ہمین لننا
659935,فورسا
660561,پوروو
662095,آنیکوسکی
662334,زالیو
663118,واسلوی
664518,تولچا
665004,تارگو مورس
665010,تیرگو ژیو
665024,تارگوویشتے
665087,ٹیمیشوارا
665850,سوچاوا
666767,سلاتینا، رومانیہ
667268,سیبیو
667303,سفانتو گیورجے
667873,ساتو مارے
668314,سکیلے
668872,ریمنیکو ویلچا
668954,ریسیتا
670474,پلویشتی
670609,پیتیشتی
670889,پیاترا نیامتس
671768,اورادیا
673441,میرکوریا-چیوک
675810,یاشی
677106,گیورجیو
677697,گالاتی
678015,فوکسانی
678499,فاگاراس
678817,دروبیتا-تورنو سیویرین
679452,دیوا، رومانیہ
680332,کرایووا
680963,قسطنطینہ
681290,کلوژ ناپوکا
683123,بوزاو
683394,بوفتیا
683844,براشوف
683902,براءیلا
684039,بوتوشانی
684657,بسترتسا
686502,الیکساندریا، رومانیہ
686578,البا یولیا
688373,یسینواتا
692194,سومی
693805,سمفروپول
696643,پولتاوا
698740,اودیسا
701075,میرہوروڈ
701822,مروپل
702550,لیویو
702658,لوہانسک
703448,کیف
705812,کیرووہراد
706448,خیرسون
709717,دونیتسک
710719,چیرنیوتسی
710791,چیرکاسی
723819,پریشوف
724443,کوشیسہ
724503,کژمارک
725578,یامبول
725712,وراتسا
725905,ودین
725988,ویلنگراد
725993,ویلیکو ترنوو
726050,وارنا
726174,ترگوویشتے
726418,دوبریچ
726848,ستارا زاگورا
727011,صوفیہ
727030,سمولین
727079,سیلوین
727221,سیلیسترا
727233,شومن
727523,روسے، بلغاریہ
727696,رازگراڈ
727886,پرووومے
728193,پلودیو
728203,پلیوین
728317,پیشٹیرا
728330,پیرنک
728378,پازارجیک
728448,پاناگیورشتے
729114,مونٹانا
729559,لوویچ
729581,لوم
729730,کیوسٹندل
729794,کاردژالی
730435,خاسکوو
731549,گابروو
732770,بورگاس
733191,بلاگووگراد
734538,پولیخنی
734643,پیلایا
736296,ایفکارپیا
737022,زانگولداک
738025,یالووا
738251,اوزونکوپرو
738648,طرابزون
738743,توقات
738927,تکیرداغ
739600,سینوپ، ترکی
740264,سامسون
740483,ریزہ
741100,اردو
743166,قرقلرایلی
743615,کازان، انقرہ
743882,کاستامونو
743952,قارص
744562,قرہ بوک
745028,ازمت
745044,استنبول
745530,ہوپا
746425,گمشخانہ
746881,گریسون
746983,گلیبولو
747712,ادرنہ
747764,ڈوزجے
748870,چوبوک، انقرہ
748879,چوروم
749748,چنکیری
749780,چناق قلعے
750269,بورصہ
750516,بولو
750598,بیلیجک
750605,بیگا، چناق قلعہ
750637,بےپازاری، انقرہ
750938,بایبورت
751057,بارتین
751817,آرتوین
751952,ارداہان
